url,name,price,value
https://eda.yandex.ru/retail/lenta/product/fc9a69aa-8f16-473a-9a50-3df6ad6b4fe9?placeSlug=giper_gwhxm,Коктейль молочный Чудо со вкусом ванильный пломбир 2% 960г,161RUB,960мл
https://eda.yandex.ru/retail/lenta/product/040e7dfe-2a65-4ddc-8fb3-6954c21dc928?placeSlug=giper_gwhxm,Коктейль молочный Чудо со вкусом клубничный пломбир с бананом 2% 200г,44RUB,200мл
https://eda.yandex.ru/retail/lenta/product/df72ee88-adb7-40de-849c-bcce253bf6b0?placeSlug=giper_gwhxm,Коктейль молочный Grand Cocktail Ванильный пломбир 4% ультрапастеризованный,84RUB,260мл
https://eda.yandex.ru/retail/lenta/product/b074d74a-b677-44d9-b206-7761106babe0?placeSlug=giper_gwhxm,Коктейль молочный Parmalat Капуччино Итальяно с кофе и какао 15%,76RUB,250мл
https://eda.yandex.ru/retail/lenta/product/e5b3efe0-e49a-4a01-bba3-a3d3202f0bd9?placeSlug=giper_gwhxm,Коктейль Молочный Растишка 2% Ванильное Мороженое,54RUB,210мл
https://eda.yandex.ru/retail/lenta/product/bc58a9d2-0c44-4262-8c25-9122e01d2e02?placeSlug=giper_gwhxm,Молоко сгущенное Рогачевъ цельное с сахаром 8.5%,100RUB,380г
https://eda.yandex.ru/retail/lenta/product/776081bb-e092-4c30-bb07-f83de4b81d8b?placeSlug=giper_gwhxm,Молоко сгущенное Рогачевъ цельное с сахаром 8.5% БЗМЖ,128RUB,280г
https://eda.yandex.ru/retail/lenta/product/b2b71550-95a5-4e70-bff3-56e1651e8887?placeSlug=giper_gwhxm,Молоко сгущенное ГЛАВПРОДУКТ Экстра цельное с сахаром без змж ГОСТ,129RUB,270г
https://eda.yandex.ru/retail/lenta/product/41d86134-6f1c-4bf6-bd56-e240057f4eb6?placeSlug=giper_gwhxm,Молоко цельное сгущённое Главпродукт с сахаром 85%,234RUB,600г
https://eda.yandex.ru/retail/lenta/product/4be75031-f10e-4e03-8b76-bcb5d840afb8?placeSlug=giper_gwhxm,Продукт молокосодержащий Лента вареная сгущенка с сахаром 3% без змж,128RUB,400г
https://eda.yandex.ru/retail/lenta/product/53aa4982-f0df-4ce9-a061-5c5b71636797?placeSlug=giper_gwhxm,Молоко сгущенное ЛЕНТА с сахаром 100г,43RUB,100г
https://eda.yandex.ru/retail/lenta/product/79807828-388b-49d3-9bf3-5c42c9ce0574?placeSlug=giper_gwhxm,Молоко сгущенное Коровка из Кореновки цельное с сахаром 85%,145RUB,380г
https://eda.yandex.ru/retail/lenta/product/196489c0-bd4f-43c3-aa37-d60ea0250b78?placeSlug=giper_gwhxm,Продукт молочный сгущенный 365 ДНЕЙ Сгущенка с сахаром 1% без змж,113RUB,500г
https://eda.yandex.ru/retail/lenta/product/4aa0a753-fe53-45f6-907b-5af50c3ffa1f?placeSlug=giper_gwhxm,Молоко сгущенное ЛЕНТА вареное 85% без змж,129RUB,370г
https://eda.yandex.ru/retail/lenta/product/d6841f9a-fdee-4b73-95aa-a20498a2546d?placeSlug=giper_gwhxm,Молоко сгущенное Главпродукт с сахаром 8.5%,118RUB,270г
